price,address,bedroom,den,bathroom
"$539,000 ","#518 -3520 DANFORTH AVE, Toronto, Ontario ",1,1,1
"$485,000 ","#1016 -100 DUNDALK DR, Toronto, Ontario ",2,0,1
"$599,000 ","#907 -20 OLIVE AVE, Toronto, Ontario ",2,0,1
"$1,659,999 ","#308 -41 DOVERCOURT RD, Toronto, Ontario ",3,0,3
"$1,200,000 ","146 SHUTER ST, Toronto, Ontario ",3,1,3
"$1,200,000 ","144 SHUTER ST, Toronto, Ontario ",4,1,3
"$1,280,000 ","#1403 -224 KING ST W, Toronto, Ontario ",2,0,2
"$1,199,900 ","#32 -8900 BATHURST ST, Vaughan, Ontario ",3,1,4
"$559,900 ","#1601 -83 BOROUGH DR, Toronto, Ontario ",1,0,1
"$1,289,000 ","#2908 -1555 FINCH AVE E, Toronto, Ontario ",2,1,3
"$548,000 ","#406 -5 ST JOSEPH ST, Toronto, Ontario ",0,0,1
"$648,000 ","#221 -28 PRINCE REGENT ST, Markham, Ontario ",1,1,2
"$999,000 ","36 MACK CLEMENT LANE, Richmond Hill, Ontario ",3,1,3
"$595,000 ","#140 -2001 BONNYMEDE DR, Mississauga, Ontario ",3,0,1
"$625,000 ","#711 -1150 PARKWEST PL, Mississauga, Ontario ",1,0,1
"$825,000 ","#67 -55 TURNTABLE CRES, Toronto, Ontario ",3,0,3
"$680,000 ","#707 -4090 LIVING ARTS DR, Mississauga, Ontario ",2,0,2
"$2,749,888 ","84 FIRST NATIONS TR, Vaughan, Ontario ",5,0,5
"$2,250,000 ","117 MAIN ST, Markham, Ontario ",4,1,4
"$555,000 ","#PH13 -51 BAFFIN CRT, Richmond Hill, Ontario ",1,0,1
"$799,000 ","#9 -42 STONEHILL CRT, Toronto, Ontario ",3,1,3
"$499,900 ","#403 -60 TOWN CENTRE CRT, Toronto, Ontario ",1,0,1
"$1,080,000 ","28 BROADLANDS BLVD, Toronto, Ontario ",3,2,2
"$760,000 ","#1408 -188 CUMBERLAND ST, Toronto, Ontario ",1,1,1
"$624,888 ","1055 SOUTHDOWN Road Unit# 510, Mississauga, Ontario ",1,0,0
"$888,800 ","#1 -1051 CEDARGLEN GATE, Mississauga, Ontario ",4,0,2
"$1,850,000 ","7 KENNING PL, Toronto, Ontario ",4,1,4
"$1,790,000 ","87 STOCKDALE CRES, Richmond Hill, Ontario ",4,0,3
"$1,890,000 ","60 GIVON ST, Vaughan, Ontario ",4,2,5
"$529,900 ","#801 -270 PALMDALE DR, Toronto, Ontario ",2,1,2
"$748,000 ","#331 -25 BAMBURGH CIRC, Toronto, Ontario ",3,0,2
"$799,000 ","#1209 -60 BRIAN HARRISON WAY, Toronto, Ontario ",3,0,2
"$899,000 ","#1003 -5 DEFRIES ST, Toronto, Ontario ",2,0,2
"$639,000 ","#2002 -955 BAY ST, Toronto, Ontario ",1,0,1
"$1,099,000 ","#1304 -181 BEDFORD RD, Toronto, Ontario ",3,0,2
"$699,000 ","#LPH10 -5500 YONGE ST, Toronto, Ontario ",2,0,2
"$608,000 ","#807 -30 ROEHAMPTON AVE, Toronto, Ontario ",1,0,1
"$1,699,000 ","107 WHITMORE AVE, Toronto, Ontario ",3,1,4
"$595,000 ","2001 Bonnymede Drive, Unit #140, Mississauga, Ontario ",3,0,1
"$625,000 ","#1815 -105 THE QUEENSWAY AVE, Toronto, Ontario ",1,1,1
"$350,000 ","#1608 -330 DIXON ST, Toronto, Ontario ",1,0,1
"$1,349,999 ","1199 SIXTH LINE, Oakville, Ontario ",4,0,2
"$624,499 ","#332 -26 GIBBS RD, Toronto, Ontario ",2,0,2
"$1,799,000 ","138 STEPHENSBROOK CIRC, Whitchurch-Stouffville, Ontario ",3,0,4
"$2,490,000 ","52 PROCTOR AVE, Markham, Ontario ",3,0,3
"$2,188,000 ","69 FREDRICK ST, Vaughan, Ontario ",4,2,7
"$1,149,000 ","142 HURST DR, Ajax, Ontario ",4,0,3
"$2,798,000 ","448 TOYNEVALE RD, Pickering, Ontario ",4,0,4
"$4,295,000 ","#708 -1 STRATHGOWAN AVE, Toronto, Ontario ",2,1,3
"$1,850,000 ","#SPH1220 -55 MERCHANTS' WHARF, Toronto, Ontario ",2,0,3
"$928,000 ","750 BURNHAMTHORPE Road E Unit# 12, Mississauga, Ontario ",4,0,4
"$1,949,000 ","330 CLAREMONT Crescent, Oakville, Ontario ",2,1,4
"$1,399,999 ","3 TEDDER ST, Toronto, Ontario ",4,1,4
"$1,099,000 ","77 EDUCATION RD, Brampton, Ontario ",4,1,5
"$439,000 ","#110 -41 MARKBROOK LANE, Toronto, Ontario ",1,0,2
"$2,098,500 ","1270 ROSE CRT, Mississauga, Ontario ",5,1,4
"$2,248,800 ","304 ELSON ST, Markham, Ontario ",4,3,6
"$828,000 ","#1711 -9000 JANE ST, Vaughan, Ontario ",2,0,2
"$699,000 ","#610 -9255 JANE ST, Vaughan, Ontario ",1,1,2
"$699,800 ","#401 -12 WOODSTREAM BLVD, Vaughan, Ontario ",2,1,2
"$850,000 ","1540 WINVILLE RD, Pickering, Ontario ",3,0,4
"$1,199,000 ","99 TUDOR GLEN CRES, Toronto, Ontario ",4,1,2
"$659,000 ","#3005 -575 BLOOR ST E, Toronto, Ontario ",1,0,1
"$1,069,000 ","#3110 -35 MERCER ST, Toronto, Ontario ",2,1,2
